AccountNum,Item,Date,Amount
1001,Intel Core i7-13700K,10-02-2024,399.99
1001,ASUS B550 Motherboard,10-02-2024,149.99
1002,NVIDIA RTX 3060,05-03-2024,329.99
1002,16GB DDR4 RAM Kit,05-03-2024,79.99
1002,1TB NVMe SSD,06-03-2024,99.99
1003,"24"" 1080p Monitor",12-04-2024,149.99
1003,Mechanical RGB Keyboard,13-04-2024,49.99
1004,Gaming Mouse,20-05-2024,29.99
1004,650W Bronze PSU,20-05-2024,69.99
1005,Intel Core i7-13700K,11-01-2024,399.99
1005,NVIDIA RTX 3060,12-01-2024,329.99
1006,16GB DDR4 RAM Kit,22-06-2024,79.99
1006,1TB NVMe SSD,22-06-2024,99.99
1007,Mechanical RGB Keyboard,03-07-2024,49.99
1007,Mid-Tower Case,04-07-2024,89.99
1008,Gaming Mouse,10-07-2024,29.99
1008,2TB External Drive,11-07-2024,59.99
1009,ASUS B550 Motherboard,15-08-2024,149.99
1009,650W Bronze PSU,15-08-2024,69.99
1010,Intel Core i7-13700K,01-09-2024,399.99
1010,1TB NVMe SSD,01-09-2024,99.99
1011,NVIDIA RTX 3060,20-09-2024,329.99
1011,16GB DDR4 RAM Kit,21-09-2024,79.99
1012,ASUS B550 Motherboard,10-10-2024,149.99
1012,AIO Cooler,11-10-2024,99.99
1013,Mechanical RGB Keyboard,05-11-2024,49.99
1013,Gaming Mouse,05-11-2024,29.99
1013,"24"" 1080p Monitor",06-11-2024,149.99
1014,Intel Core i7-13700K,15-12-2024,399.99
1014,NVIDIA RTX 3060,16-12-2024,329.99
1015,1TB NVMe SSD,25-01-2024,99.99
1015,16GB DDR4 RAM Kit,25-01-2024,79.99
1016,Mid-Tower Case,14-02-2024,89.99
1016,650W Bronze PSU,15-02-2024,69.99
1017,2TB External Drive,01-03-2024,59.99
1017,Mechanical RGB Keyboard,02-03-2024,49.99
1018,NVIDIA RTX 3060,10-03-2024,329.99
1018,ASUS B550 Motherboard,10-03-2024,149.99
1019,Intel Core i7-13700K,05-04-2024,399.99
1019,16GB DDR4 RAM Kit,05-04-2024,79.99
1020,Gaming Mouse,01-05-2024,29.99
1020,"24"" 1080p Monitor",02-05-2024,149.99
1021,AIO Cooler,20-05-2024,99.99
1021,1TB NVMe SSD,21-05-2024,99.99
1022,Mechanical RGB Keyboard,18-06-2024,49.99
1022,NVIDIA RTX 3060,19-06-2024,329.99
1023,16GB DDR4 RAM Kit,07-07-2024,79.99
1023,ASUS B550 Motherboard,07-07-2024,149.99
1024,Intel Core i7-13700K,24-08-2024,399.99
1024,Mid-Tower Case,25-08-2024,89.99
1025,2TB External Drive,10-09-2024,59.99
1025,650W Bronze PSU,11-09-2024,69.99
1026,"24"" 1080p Monitor",02-10-2024,149.99
1026,Mechanical RGB Keyboard,03-10-2024,49.99
1027,1TB NVMe SSD,11-11-2024,99.99
1027,Gaming Mouse,12-11-2024,29.99
1028,NVIDIA RTX 3060,02-12-2024,329.99
1028,Intel Core i7-13700K,03-12-2024,399.99
1029,16GB DDR4 RAM Kit,10-12-2024,79.99
1029,ASUS B550 Motherboard,10-12-2024,149.99
1030,AIO Cooler,20-12-2024,99.99
1030,Gaming Mouse,21-12-2024,29.99
1233,Toys,1233-123-123-,12.99
1233,Car,1`231-123-12,24.99
